d3mIndex,cylinders,displacement,horsepower,weight,acceleration,model,origin,class
0,8,307.0,130.0,3504.0,12.0,70,1,18.0
3,8,304.0,150.0,3433.0,12.0,70,1,16.0
5,8,429.0,198.0,4341.0,10.0,70,1,15.0
9,8,390.0,190.0,3850.0,8.5,70,1,15.0
15,6,198.0,95.0,2833.0,15.5,70,1,22.0
18,4,97.0,88.0,2130.0,14.5,70,3,27.0
22,4,104.0,95.0,2375.0,17.5,70,2,25.0
25,8,360.0,215.0,4615.0,14.0,70,1,10.0
30,4,140.0,90.0,2264.0,15.5,71,1,28.0
31,4,113.0,95.0,2228.0,14.0,71,3,25.0
33,6,232.0,100.0,2634.0,13.0,71,1,19.0
39,8,400.0,175.0,4464.0,11.5,71,1,14.0
42,8,383.0,180.0,4955.0,11.5,71,1,12.0
45,6,258.0,110.0,2962.0,13.5,71,1,18.0
46,4,140.0,72.0,2408.0,19.0,71,1,22.0
55,4,97.0,60.0,1834.0,19.0,71,2,27.0
56,4,91.0,70.0,1955.0,20.5,71,1,26.0
57,4,113.0,95.0,2278.0,15.5,72,3,24.0
63,8,400.0,175.0,4385.0,12.0,72,1,14.0
70,8,400.0,190.0,4422.0,12.5,72,1,13.0
72,8,304.0,150.0,3892.0,12.5,72,1,15.0
73,8,307.0,130.0,4098.0,14.0,72,1,13.0
75,8,318.0,150.0,4077.0,14.0,72,1,14.0
76,4,121.0,112.0,2933.0,14.5,72,2,18.0
77,4,121.0,76.0,2511.0,18.0,72,2,22.0
78,4,120.0,87.0,2979.0,19.5,72,2,21.0
82,4,120.0,97.0,2506.0,14.5,72,3,23.0
84,4,97.0,88.0,2100.0,16.5,72,3,27.0
90,8,429.0,198.0,4952.0,11.5,73,1,12.0
93,8,318.0,150.0,4237.0,14.5,73,1,14.0
94,8,440.0,215.0,4735.0,11.0,73,1,13.0
101,6,198.0,95.0,2904.0,16.0,73,1,23.0
104,8,400.0,167.0,4906.0,12.5,73,1,12.0
108,4,97.0,88.0,2279.0,19.0,73,3,20.0
113,6,155.0,107.0,2472.0,14.0,73,1,21.0
114,4,98.0,90.0,2265.0,15.5,73,2,26.0
116,8,400.0,230.0,4278.0,9.5,73,1,16.0
118,4,116.0,75.0,2158.0,15.5,73,2,24.0
124,8,350.0,180.0,3664.0,11.0,73,1,11.0
126,6,200.0,,2875.0,17.0,74,1,21.0
132,4,140.0,75.0,2542.0,17.0,74,1,25.0
140,8,304.0,150.0,4257.0,15.5,74,1,14.0
141,4,98.0,83.0,2219.0,16.5,74,2,29.0
148,4,116.0,75.0,2246.0,14.0,74,2,26.0
152,6,225.0,95.0,3264.0,16.0,75,1,19.0
158,8,318.0,150.0,4498.0,14.5,75,1,16.0
168,4,140.0,83.0,2639.0,17.0,75,1,23.0
172,4,90.0,71.0,2223.0,16.5,75,2,25.0
175,4,90.0,70.0,1937.0,14.0,75,2,29.0
177,4,115.0,95.0,2694.0,15.0,75,2,23.0
180,4,121.0,115.0,2671.0,13.5,75,2,25.0
181,4,91.0,53.0,1795.0,17.5,75,3,33.0
196,4,98.0,60.0,2164.0,22.1,76,1,24.5
198,4,91.0,53.0,1795.0,17.4,76,3,33.0
208,8,318.0,150.0,3940.0,13.2,76,1,13.0
210,6,156.0,108.0,2930.0,15.5,76,3,19.0
218,4,79.0,58.0,1825.0,18.6,77,2,36.0
222,8,260.0,110.0,4060.0,19.0,77,1,17.0
225,6,250.0,110.0,3520.0,16.4,77,1,17.5
229,8,400.0,180.0,4220.0,11.1,77,1,16.0
231,8,400.0,190.0,4325.0,12.2,77,1,15.5
234,4,151.0,88.0,2740.0,16.0,77,1,24.5
238,4,98.0,83.0,2075.0,15.9,77,1,33.5
246,4,78.0,52.0,1985.0,19.4,78,3,32.8
248,4,91.0,60.0,1800.0,16.4,78,3,36.1
249,8,260.0,110.0,3365.0,15.5,78,1,19.9
261,6,258.0,120.0,3410.0,15.1,78,1,18.1
262,8,305.0,145.0,3425.0,13.2,78,1,19.2
272,4,151.0,85.0,2855.0,17.6,78,1,23.8
275,6,163.0,125.0,3140.0,13.6,78,2,17.0
280,6,231.0,115.0,3245.0,15.4,79,1,21.5
285,8,305.0,130.0,3840.0,15.4,79,1,17.0
292,8,360.0,150.0,3940.0,13.0,79,1,18.5
294,4,86.0,65.0,1975.0,15.2,79,3,34.1
298,8,350.0,125.0,3900.0,17.4,79,1,23.0
307,6,173.0,115.0,2700.0,12.9,79,1,26.8
312,4,86.0,65.0,2019.0,16.4,80,3,37.2
318,4,134.0,90.0,2711.0,15.5,80,3,29.8
323,4,156.0,105.0,2800.0,14.4,80,1,27.9
334,3,70.0,100.0,2420.0,12.5,80,3,23.7
337,4,107.0,72.0,2290.0,17.0,80,3,32.4
341,6,173.0,110.0,2725.0,12.6,81,1,23.5
350,4,105.0,63.0,2215.0,14.9,81,1,34.7
351,4,98.0,65.0,2045.0,16.2,81,1,34.4
352,4,98.0,65.0,2380.0,20.7,81,1,29.9
367,4,112.0,88.0,2605.0,19.6,82,1,28.0
370,4,112.0,85.0,2575.0,16.2,82,1,31.0
371,4,135.0,84.0,2525.0,16.0,82,1,29.0
373,4,140.0,92.0,2865.0,16.4,82,1,24.0
375,4,105.0,74.0,1980.0,15.3,82,2,36.0
376,4,91.0,68.0,2025.0,18.2,82,3,37.0
377,4,91.0,68.0,1970.0,17.6,82,3,31.0
378,4,105.0,63.0,2125.0,14.7,82,1,38.0
380,4,120.0,88.0,2160.0,14.5,82,3,36.0
383,4,91.0,67.0,1965.0,15.0,82,3,38.0
386,6,181.0,110.0,2945.0,16.4,82,1,25.0
389,6,232.0,112.0,2835.0,14.7,82,1,22.0
393,4,140.0,86.0,2790.0,15.6,82,1,27.0
394,4,97.0,52.0,2130.0,24.6,82,2,44.0
396,4,120.0,79.0,2625.0,18.6,82,1,28.0
